ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES
18,Indiana,IN,18145,Shelby County,18145,"Shelby County, Indiana",411.136234758494,0.3328,0.2208,0.4413,0.5304,0.2564,1.7817,0.2641,0.3258,0.5721,0.4082,0.3411,0.5861,2.2333,0.3427,0.2364,0.2364,0.2364,0.7031,0.2529,0.5415,0.503,0.4003,2.4008,0.4528,6.6522,0.2832
18,Indiana,IN,18147,Spencer County,18147,"Spencer County, Indiana",396.887676744172,0.2132,0.2208,0.1683,0.2488,0.0474,0.8985,0.0665,0.5784,0.4534,0.2832,0.2065,0.2475,1.769,0.1063,0.1037,0.1037,0.1037,0.3509,0.4846,0.1193,0.2208,0.3299,1.5055,0.097,4.2767,0.0369
18,Indiana,IN,18149,Starke County,18149,"Starke County, Indiana",309.144080247742,0.5889,0.3509,0.4168,0.7553,0.2883,2.4002,0.4658,0.447,0.6312,0.7251,0.2603,0.315,2.3786,0.4413,0.2109,0.2109,0.2109,0.3853,0.4298,0.3198,0.503,0.0229,1.6608,0.1355,6.6505,0.2829
18,Indiana,IN,18151,Steuben County,18151,"Steuben County, Indiana",308.780092625894,0.1995,0.8546,0.1285,0.2294,0.245,1.657,0.2297,0.6624,0.2507,0.3347,0.0611,0.2475,1.5564,0.0538,0.1753,0.1753,0.1753,0.4655,0.5765,0.1724,0.4454,0.7496,2.4094,0.4582,5.7981,0.1651
18,Indiana,IN,18153,Sullivan County,18153,"Sullivan County, Indiana",447.195656528718,0.6774,0.5603,0.1861,0.5402,0.5415,2.5055,0.4992,0.3793,0.2507,0.6624,0.8527,0.377,2.5221,0.5476,0.2536,0.2536,0.2536,0.496,0.5657,0.7019,0.3751,0.9364,3.0751,0.7887,8.3563,0.574
18,Indiana,IN,18155,Switzerland County,18155,"Switzerland County, Indiana",220.667425088684,0.5603,0.4267,0.2994,0.8282,0.7996,2.9142,0.6379,0.3598,0.7964,0.8521,0.4486,0.377,2.8339,0.7432,0.0757,0.0757,0.0757,0.4038,0.6977,0.6083,0.7073,0.1798,2.5969,0.5514,8.4207,0.5886
18,Indiana,IN,18157,Tippecanoe County,18157,"Tippecanoe County, Indiana",498.89740584576,0.727,0.2752,0.9672,0.2934,0.2768,2.5396,0.5107,0.0302,0.2781,0.0385,0.4693,0.7197,1.5358,0.0477,0.6211,0.6211,0.6211,0.9609,0.1451,0.3608,0.8568,0.9185,3.2421,0.8594,7.9386,0.5087
18,Indiana,IN,18159,Tipton County,18159,"Tipton County, Indiana",260.5407029552,0.2396,0.3115,0.0325,0.3958,0.5065,1.4859,0.1849,0.693,0.3331,0.3007,0.2787,0.0,1.6055,0.0617,0.0821,0.0821,0.0821,0.1254,0.1976,0.3933,0.0134,0.4003,1.13,0.0325,4.3035,0.0382
18,Indiana,IN,18161,Union County,18161,"Union County, Indiana",161.190045200144,0.1651,0.5787,0.2641,0.5501,0.3948,1.9528,0.3169,0.5873,0.3213,0.3764,0.5304,0.1661,1.9815,0.1903,0.0757,0.0757,0.0757,0.1969,0.4709,0.0251,0.2708,0.1091,1.0728,0.0267,5.0828,0.0897
18,Indiana,IN,18163,Vanderburgh County,18163,"Vanderburgh County, Indiana",233.401106114476,0.5062,0.4954,0.8358,0.3633,0.434,2.6347,0.5415,0.3258,0.4263,0.4699,0.7935,0.377,2.3925,0.4518,0.4948,0.4948,0.4948,0.8842,0.1199,0.2027,0.8206,0.7254,2.7528,0.636,8.2748,0.5612
18,Indiana,IN,18165,Vermillion County,18165,"Vermillion County, Indiana",256.89412786702,0.5924,0.8855,0.287,0.2488,0.1343,2.148,0.3777,0.5558,0.4696,0.7327,0.8597,0.2475,2.8653,0.7626,0.0264,0.0264,0.0264,0.3659,0.434,0.8412,0.2491,0.3299,2.2201,0.3598,7.2598,0.391
18,Indiana,IN,18167,Vigo County,18167,"Vigo County, Indiana",403.63113504754,0.79,0.7544,0.9141,0.419,0.4556,3.3331,0.776,0.258,0.2994,0.5781,0.6898,0.377,2.2023,0.3185,0.434,0.434,0.434,0.8062,0.1059,0.7362,0.7346,0.882,3.2649,0.8711,9.2343,0.7286
18,Indiana,IN,18169,Wabash County,18169,"Wabash County, Indiana",412.538823246772,0.3872,0.2568,0.1145,0.3452,0.3586,1.4623,0.1775,0.6755,0.3548,0.4489,0.5103,0.0,1.9895,0.1947,0.1276,0.1276,0.1276,0.4423,0.2339,0.2393,0.3217,0.8451,2.0823,0.2905,5.6617,0.147
18,Indiana,IN,18171,Warren County,18171,"Warren County, Indiana",364.690303549676,0.209,0.1864,0.069,0.2389,0.1798,0.8831,0.0646,0.6459,0.4696,0.6892,0.0811,0.0856,1.9714,0.1849,0.0544,0.0544,0.0544,0.1088,0.2281,0.636,0.1088,0.1798,1.2615,0.0477,4.1704,0.0315
18,Indiana,IN,18173,Warrick County,18173,"Warrick County, Indiana",384.842951493956,0.0239,0.2208,0.0738,0.0678,0.0293,0.4156,0.0099,0.3793,0.6962,0.1763,0.3843,0.377,2.0131,0.2084,0.2587,0.2587,0.2587,0.6004,0.1836,0.1724,0.0363,0.252,1.2447,0.0465,3.9321,0.0194
18,Indiana,IN,18175,Washington County,18175,"Washington County, Indiana",513.688300489974,0.5762,0.3853,0.2479,0.6319,0.5336,2.3749,0.4594,0.3427,0.5997,0.5692,0.8231,0.0856,2.4203,0.4696,0.0229,0.0229,0.0229,0.2316,0.7455,0.3933,0.6083,0.1798,2.1585,0.3268,6.9766,0.3382
18,Indiana,IN,18177,Wayne County,18177,"Wayne County, Indiana",401.754293611642,0.6538,0.4537,0.7385,0.6017,0.6395,3.0872,0.7035,0.4801,0.5616,0.6892,0.8527,0.6131,3.1967,0.9084,0.377,0.377,0.377,0.7458,0.1476,0.2765,0.8282,0.741,2.7391,0.63,9.4,0.7515
18,Indiana,IN,18179,Wells County,18179,"Wells County, Indiana",368.086974118356,0.1228,0.105,0.1861,0.1756,0.2883,0.8778,0.064,0.3793,0.8174,0.2097,0.3223,0.4349,2.1636,0.293,0.1457,0.1457,0.1457,0.3853,0.3528,0.0722,0.1413,0.5145,1.4661,0.0878,4.6532,0.0531
18,Indiana,IN,18181,White County,18181,"White County, Indiana",505.138749308984,0.1731,0.4267,0.3388,0.4375,0.4827,1.8588,0.2851,0.5953,0.6707,0.399,0.2065,0.7369,2.6084,0.6058,0.3484,0.3484,0.3484,0.4655,0.5304,0.1724,0.0697,0.1798,1.4178,0.0773,6.2334,0.2221
18,Indiana,IN,18183,Whitley County,18183,"Whitley County, Indiana",335.568903058252,0.126,0.3509,0.1238,0.314,0.4642,1.3789,0.1588,0.3793,0.6564,0.3077,0.5711,0.0856,2.0001,0.2014,0.1339,0.1339,0.1339,0.5921,0.2736,0.1479,0.2068,0.1798,1.4002,0.0732,4.9131,0.0735
