segment_id,rrowner1,yardname,passenger,tracks,miles,geometry,annual_estimate
818,INRD,FALSE,FALSE,1,6.34903173,"MULTILINESTRING ((-86.53708567399997 39.17505054700007, -86.53683355299995 39.175075898000046, -86.536206 39.175139, -86.53479015899995 39.175124545000074, -86.53357018299994 39.175112091000074, -86.528174 39.175057, -86.52700124199998 39.17502479400008, -86.526681 39.175016, -86.52638442699998 39.17498983100006, -86.526137 39.174967999000046, -86.52586030799995 39.17492447300003, -86.52529025699994 39.17483479500004, -86.52436023699994 39.17468849100004, -86.52387400099997 39.17461200100007, -86.52357852799997 39.17453569800006, -86.523146 39.174424001000034, -86.522665 39.174392, -86.52101682999995 39.17410842400005, -86.520933 39.174094, -86.52072699899998 39.17403399900007, -86.51973631499999 39.17385504500004, -86.518914237 39.17370654700005, -86.517339 39.17342199900003, -86.51683799899996 39.173354999000026, -86.51554195799997 39.17312539300008, -86.513852 39.172826, -86.51101055399994 39.17231690300008, -86.50950860299997 39.17204780000003, -86.50721243799995 39.17163639900008, -86.50675285599993 39.17155405700004, -86.50281836599999 39.17084912000007, -86.50173102199994 39.17065430300005, -86.49996326799999 39.170337576000065, -86.49705249799996 39.16981605800004, -86.49589038599999 39.16960784400004, -86.49172199899994 39.168861, -86.49043068999998 39.16863603300004, -86.48847895299997 39.16829600900007, -86.48676690899998 39.16799774400005, -86.48655600099994 39.167961, -86.486013 39.167908, -86.48572883099996 39.167899618000035, -86.48517901599996 39.16788340100004, -86.48496200099999 39.167877, -86.48445092699995 39.16790030400006, -86.48432600099994 39.167906, -86.48358300099994 39.167998, -86.48332415099998 39.16805047400004, -86.48299354699998 39.16811749500005, -86.48284800099998 39.168147, -86.48232234599999 39.168288698000026, -86.482273 39.16830200100003, -86.48165279899996 39.168518034000044, -86.48158399899995 39.16854199900007, -86.48135432299995 39.168640123000046, -86.48105499899998 39.168768, -86.48069605999996 39.16896001900005, -86.480348527 39.16914594000008, -86.480197 39.169226999000045, -86.47973397099997 39.16955946000007, -86.479353 39.169833, -86.47925624299995 39.16991717600007, -86.47893 39.170201, -86.47886487899996 39.170274333000066, -86.47840885699998 39.17078786500008, -86.478256 39.17095999900005, -86.47782361999998 39.171540150000055, -86.47734599899997 39.172181, -86.477269 39.172315, -86.47681465899996 39.172911173000045, -86.476135 39.173803, -86.47606999899995 39.173924, -86.47531700099995 39.174903, -86.46914299899998 39.183225, -86.46867971299997 39.18382747000004, -86.46867699899997 39.183831, -86.46727882099998 39.18554535000004, -86.467085 39.185783, -86.46703670299996 39.18586042000004, -86.46668997899997 39.18641622500007, -86.466687 39.186421, -86.46650658699997 39.18681754700003, -86.466389 39.18707600100004, -86.46623750799995 39.18752254700007, -86.466198 39.187639, -86.46601300099996 39.188445, -86.46599625099998 39.188623403000065, -86.46597365499997 39.18886409800007, -86.46594700099996 39.189148, -86.46595427499994 39.189529537000055, -86.465958 39.189725001000056, -86.46597481499998 39.189855513000055, -86.46603536499998 39.19032544400005, -86.46684999899998 39.196648, -86.467162 39.198911, -86.46746205899996 39.20131224200003, -86.46755099899997 39.202024, -86.46762340899994 39.202710695000064, -86.46764200099994 39.20288700100008, -86.46764625099996 39.20321018100003, -86.467651 39.20357100100006, -86.46763246099994 39.203869533000045, -86.467612 39.204199, -86.46750720699998 39.20488110700006, -86.46750199899998 39.204915, -86.46740850499998 39.20529210900003, -86.46732300099995 39.205637, -86.46714311899996 39.20617105100007, -86.46712999899995 39.20621, -86.46690442599999 39.206731913000056, -86.46682399899998 39.206918, -86.46673023799997 39.20710012300003, -86.46652900099997 39.20749100100005, -86.46619496799997 39.20803306200003, -86.46613400099994 39.208132, -86.46570800099994 39.208724001000064, -86.46548795599995 39.208988298000065, -86.465171 39.209369, -86.46494517199994 39.209595180000065, -86.46453 39.210011, -86.46447122999996 39.21006143300008, -86.46386294399997 39.21058343100003, -86.463818 39.210622, -86.46335751199996 39.210960225000065, -86.46301200099998 39.21121399900005, -86.46292080599994 39.21127128100005, -86.46256848899998 39.21149258500003))",676
908,KBSR,FALSE,FALSE,1,3.50788195,"MULTILINESTRING ((-87.093840001 40.48797, -87.093725 40.487945800000034, -87.09265 40.48772, -87.09059000099995 40.48728, -87.08407 40.4859, -87.06023 40.480829999000036, -87.02970563399998 40.474318004000054))",260
935,ISRR,FALSE,FALSE,1,1.7168377,"MULTILINESTRING ((-86.34847 39.63167000100003, -86.34845314999995 39.63168336900003, -86.34697000099999 39.63286, -86.34468 39.63469999900008, -86.34294 39.63615000100003, -86.33361 39.64372999900007, -86.33288 39.64435000100008, -86.32998 39.64668, -86.32765490599996 39.64858439500006, -86.32640289099999 39.649600941000074, -86.32628306099997 39.64969823200005))",104
979,CFE,FALSE,FALSE,1,7.4472211,"MULTILINESTRING ((-87.06522954999997 41.466299062000076, -87.06230477099996 41.464966781000044, -87.06099490299994 41.46437011800003, -87.05976107799995 41.46380809200008, -87.059234 41.463568, -87.05884876099998 41.46337271700003, -87.058366 41.463128, -87.05810191299997 41.46297697500006, -87.05752335399995 41.46264611200007, -87.057406 41.462579, -87.05715659299995 41.46242331900004, -87.05629556099996 41.46188586200003, -87.05479474799995 41.46094905000007, -87.053814317 41.460337062000065, -87.05260041099996 41.45957934000006, -87.05075051699998 41.45842463200006, -87.04992536799995 41.45790957100007, -87.04876863399994 41.45718753700004, -87.04863000099994 41.45710100100007, -87.04809892399999 41.45680191100007, -87.04754454099998 41.45648969400003, -87.04724499899999 41.45632099900007, -87.045759 41.455584, -87.04543442699998 41.45544281400004, -87.04451228199997 41.455041694000045, -87.04396280499998 41.45480267900007, -87.043844 41.454751, -87.04328354499995 41.45454450300008, -87.042143663 41.454124516000036, -87.041765 41.453985, -87.039820105 41.45339222300004, -87.03978 41.45338, -87.03788550999997 41.45291917800006, -87.037486 41.45282199900004, -87.03669089599998 41.452660165000054, -87.02734902299994 41.45075872100006, -87.02706766899996 41.45070145200003, -87.02665891399994 41.45061825500005, -87.02424935 41.45012781100007, -87.01722836599998 41.44869876100006, -87.01347121499998 41.447934030000056, -87.00648696299999 41.44651245600005, -87.00282863699994 41.44576784000003, -86.99554573299997 41.44428547800004, -86.99144100099994 41.44345, -86.99032210899998 41.44324376900005, -86.98922200099997 41.443041, -86.98835045899995 41.44291136100003, -86.97866727499996 41.441471017000026, -86.95436072999996 41.43785548900007, -86.93961556299996 41.43566218700005, -86.93566800099995 41.43507500100003, -86.93358904299998 41.434764236000035, -86.93018660599995 41.43425564000006, -86.93018155999994 41.43425488500003))",780
981,CFE,FALSE,FALSE,1,2.34848672,"MULTILINESTRING ((-87.22077929899996 41.52524601500005, -87.22075713299995 41.52523888600007, -87.219495 41.524833, -87.21368244599995 41.52286783900007, -87.20964378899998 41.521502413000064, -87.20522691899998 41.52000911700003, -87.19549031899999 41.516717279000034, -87.18848941399995 41.51435034700006, -87.18574839999997 41.51342364100003, -87.17947593699995 41.51130298900006))",4732
984,ISRR,FALSE,FALSE,1,3.25680786,"MULTILINESTRING ((-87.53366170299995 38.026130487000046, -87.53241589799995 38.02802362400007, -87.532236 38.028297, -87.53154400099999 38.029224999000064, -87.53036687799994 38.03101183000007, -87.52806500099996 38.034506, -87.527845 38.03479, -87.52784174299995 38.03479346700004, -87.527645 38.035003, -87.52740430199998 38.035198335000075, -87.52712500099994 38.035425, -87.52689928099994 38.03555364600004, -87.52645299899996 38.035808, -87.52633908999996 38.035851302000026, -87.52583037899996 38.036044693000065, -87.525677 38.036102999000036, -87.52518419499995 38.03621429800006, -87.52488 38.036283, -87.52452822599997 38.036325213000055, -87.52443 38.03633699900007, -87.523931 38.036359, -87.52342010199999 38.03635225200003, -87.51949973099994 38.03630047200005, -87.51946399899998 38.0363, -87.51871022799997 38.03638209400003, -87.51865600099995 38.036388, -87.51794970999998 38.03655880200006, -87.517891 38.036573, -87.51740400099999 38.036751999000046, -87.51723083499996 38.03683181100007, -87.517046 38.036917, -87.51666799899994 38.03712900100004, -87.51657721699996 38.03719063200003, -87.51634100099994 38.03735100100005, -87.51624439099999 38.03742804600006, -87.51602 38.03760699900005, -87.51600817899998 38.03761857100005, -87.51573499899996 38.037886, -87.51560196099996 38.03803908500004, -87.51551600099998 38.03813800100005, -87.51526900099998 38.03849100100007, -87.51522422899995 38.03857319700006, -87.51507399899998 38.038849, -87.51499080099995 38.039058270000055, -87.51491100099997 38.039259, -87.51483152699996 38.03957540700003, -87.514804 38.039685, -87.51475399899994 38.040108, -87.51473091199995 38.04064047300005, -87.51457351099998 38.04427058600004, -87.51437202499994 38.04891736900004, -87.51415952199994 38.05381824400007, -87.514116001 38.05482200100005, -87.51404300099995 38.055331, -87.51401123099998 38.05545032800006, -87.51391999899994 38.055793, -87.51385296899997 38.05596329600007, -87.51373499899995 38.056263, -87.51362433099996 38.05647169100007, -87.51349000099998 38.056725, -87.51247462899994 38.05826670400006, -87.50954419699997 38.06271617800007, -87.50897305499996 38.06358338200005))",936
1198,CN,FALSE,FALSE,1,3.03996719,"MULTILINESTRING ((-87.31587979999995 41.600788100000045, -87.31869234399994 41.60140627100003, -87.32521950899996 41.60287619700006, -87.32976052599997 41.60388239300005, -87.33044298999994 41.604039887000056, -87.33154543399996 41.60431112100008, -87.33315535099996 41.60476609800003, -87.33431904099996 41.605019836000054, -87.33721514399997 41.60540481600003, -87.34029498399997 41.60589479200007, -87.34235987699998 41.606271020000065, -87.34329607999996 41.60653350700005, -87.34750461399994 41.607802192000065, -87.35229936699994 41.60949960500005, -87.35740910499999 41.61132826100004, -87.36139014999998 41.612745688000075, -87.36527494999996 41.61414561700008, -87.36960597799998 41.61518681300004, -87.37090091099998 41.61564178900005))",16016
1258,CSXT,FALSE,FALSE,1,2.05986729,"MULTILINESTRING ((-84.92246986699996 39.052245421000066, -84.92051006799994 39.05230234000004, -84.92039986899994 39.05230553800004, -84.91766014899997 39.05238510800007, -84.91711300099996 39.05240100100008, -84.91658116699995 39.052437171000065, -84.91631900099998 39.052454999000076, -84.91579127399996 39.05252907900007, -84.91557100099999 39.05256, -84.91506335099996 39.05269280700003, -84.91468800099994 39.052791, -84.91435382399999 39.05291991300004, -84.91417027599994 39.052990718000046, -84.914084 39.053024, -84.91355459 39.05327951000004, -84.91327800099998 39.053413, -84.91113400199998 39.054515, -84.91082369699996 39.054656144000035, -84.91054700199999 39.054782001000035, -84.91016849599998 39.05492605200004, -84.910032 39.054978, -84.90979703699998 39.05503849000007, -84.90919300199994 39.05519399900004, -84.90884717399996 39.05525359300003, -84.90703999899995 39.055565, -84.90672066099995 39.055633095000076, -84.90649599899996 39.055681, -84.905643 39.055912, -84.90548956299995 39.05596881900004, -84.90509220899997 39.05611596500006, -84.90500299899998 39.056149, -84.90463309599994 39.05634581700008, -84.90447299899995 39.056431, -84.903954 39.056814, -84.90391502999995 39.05684748900006, -84.90371676599995 39.05701787300006, -84.90336715399997 39.05731832400005, -84.90234132399996 39.05819990400005, -84.90060395599994 39.05969296600006, -84.89976901999995 39.06041049600003, -84.899424 39.060707, -84.89883977099998 39.06116970900007, -84.898674 39.061301, -84.89830439899998 39.061541387000034, -84.89788796099998 39.06181223700003, -84.89779299899999 39.061874, -84.89730554999994 39.062160678000055, -84.89548319699998 39.06323243600008, -84.89418826899998 39.063994007000076, -84.893282 39.064527, -84.89289981999997 39.06477901400007, -84.892363 39.065133, -84.89184581399996 39.065524984000035, -84.891384 39.065875, -84.89057642299997 39.06657716900003))",1612
1472,CSXT,FALSE,FALSE,1,1.89970056,"MULTILINESTRING ((-87.54932465999997 38.06232279900007, -87.54765615099996 38.057627815000046, -87.54162654699996 38.040661227000044, -87.54132470699994 38.03981188100005, -87.540179 38.036588, -87.54016517599996 38.03653855300007, -87.53995736099995 38.035795147000044))",1040
1473,CSXT,TRUE,FALSE,1,1.07801931,"MULTILINESTRING ((-87.53953160099996 38.02867726900007, -87.53991170199998 38.014828281000064, -87.539959 38.013105, -87.53996400699998 38.013050845000066))",1144
